Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
177083,Lightning Charging Cable,1,14.95,04/25/22 23:32,"646 Avenue Franklin Roosevelt St, Mons, HAI 7000"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
177084,AA Batteries (4-pack),1,3.84,04/13/22 18:57,"694 Avenue des Arts St, Bruxelles, BRU 1000"
177085,Bose SoundSport Headphones,1,99.99,04/03/22 18:24,"228 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
177086,USB-C Charging Cable,1,11.95,04/10/22 16:41,"120 Avenue Franklin Roosevelt St, Mons, HAI 7000"
177087,Apple Airpods Headphones,1,150,04/06/22 20:33,"342 Rue Antoine Dansaert St, Liège, WLG 4000"
177088,Bose SoundSport Headphones,1,99.99,04/19/22 08:49,"521 Boulevard Anspach St, Namur, NAM 5000"
177089,Wired Headphones,1,11.99,04/01/22 12:39,"666 Rue Blaes St, Mons, HAI 7000"
177090,Lightning Charging Cable,1,14.95,04/20/22 16:36,"491 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
177091,AAA Batteries (4-pack),1,2.99,04/20/22 14:53,"681 Rue du Page St, Namur, NAM 5000"
177092,Apple Airpods Headphones,1,150,04/03/22 18:50,"299 Rue du Bailli St, Mons, HAI 7000"
177093,ThinkPad Laptop,1,999.99,04/29/22 15:52,"496 Avenue Franklin Roosevelt St, Namur, NAM 5000"
177094,Wired Headphones,1,11.99,04/08/22 04:15,"199 Rue Saint-Jacques St, Liège, WLG 4000"
177095,USB-C Charging Cable,1,11.95,04/29/22 17:00,"127 Rue Neuve St, Courtrai, WVH 8500"
177096,Bose SoundSport Headphones,1,99.99,04/15/22 23:26,"181 Rue Saint-Jacques St, Charleroi, WHT 6000"
177097,Lightning Charging Cable,1,14.95,04/27/22 09:01,"879 Rue Antoine Dansaert St, Charleroi, WHT 6000"
177098,Bose SoundSport Headphones,1,99.99,04/24/22 17:53,"111 Avenue Louise St, Bruxelles, BRU 1000"
177099,27in FHD Monitor,1,149.99,04/09/22 18:36,"889 Avenue des Arts St, Charleroi, WHT 6000"
177100,Macbook Pro Laptop,1,1700,04/30/22 16:29,"952 Rue du Bailli St, La Louvière, WHT 7100"
177101,USB-C Charging Cable,1,11.95,04/25/22 18:56,"665 Rue de Flandre St, Bruxelles, BRU 1000"
177102,Lightning Charging Cable,3,14.95,04/08/22 17:51,"360 Boulevard Anspach St, Namur, NAM 5000"
177103,AAA Batteries (4-pack),1,2.99,04/23/22 13:53,"151 Place Sainte-Catherine St, Charleroi, WHT 6000"
177104,Lightning Charging Cable,1,14.95,04/06/22 23:06,"239 Avenue de la Toison d'Or St, Liège, WLG 4000"
177105,USB-C Charging Cable,1,11.95,04/27/22 20:09,"236 Boulevard Anspach St, Mons, HAI 7000"
177106,AAA Batteries (4-pack),1,2.99,04/29/22 13:17,"200 Avenue de Tervueren St, Bruxelles, BRU 1000"
177107,Wired Headphones,1,11.99,04/08/22 10:16,"853 Avenue Franklin Roosevelt St, Liège, WLG 4000"
177108,AAA Batteries (4-pack),1,2.99,04/14/22 18:19,"158 Avenue Brugmann St, Bruxelles, BRU 1000"
177108,Wired Headphones,1,11.99,04/14/22 18:19,"158 Avenue Brugmann St, Bruxelles, BRU 1000"
177109,Lightning Charging Cable,1,14.95,04/21/22 20:38,"375 Rue du Midi St, Bruxelles, BRU 1000"
177110,27in 4K Gaming Monitor,1,389.99,04/01/22 12:47,"465 Avenue Louise St, Bruxelles, BRU 1000"
177111,20in Monitor,1,109.99,04/29/22 16:26,"530 Rue du Luxembourg St, Liège, WLG 4000"
177112,Apple Airpods Headphones,1,150,04/09/22 11:08,"943 Rue de la Loi St, Charleroi, WHT 6000"
177113,27in FHD Monitor,1,149.99,04/17/22 20:35,"45 Rue du Midi St, La Louvière, WHT 7100"
177114,AAA Batteries (4-pack),1,2.99,04/03/22 18:17,"338 Rue Saint-Jacques St, Bruxelles, BRU 1000"
177115,AAA Batteries (4-pack),2,2.99,04/20/22 16:55,"564 Avenue Louise St, Verviers, LGE 4800"
177116,AAA Batteries (4-pack),1,2.99,04/14/22 11:14,"23 Chaussée de Waterloo St, Mons, HAI 7000"
177117,27in 4K Gaming Monitor,1,389.99,04/03/22 10:02,"780 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
177118,Apple Airpods Headphones,1,150,04/28/22 15:23,"69 Avenue Brugmann St, Bruxelles, BRU 1000"
177119,USB-C Charging Cable,1,11.95,04/26/22 18:31,"665 Chaussée de Waterloo St, Liège, WLG 4000"
177120,Flatscreen TV,1,300,04/28/22 02:24,"645 Rue du Page St, Liège, WLG 4000"
177121,USB-C Charging Cable,2,11.95,04/28/22 15:10,"171 Rue de la Loi St, Liège, WLG 4000"
177122,Lightning Charging Cable,1,14.95,04/08/22 22:57,"706 Rue Neuve St, Namur, NAM 5000"
177123,Bose SoundSport Headphones,1,99.99,04/09/22 09:38,"199 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
177124,Flatscreen TV,1,300,04/11/22 12:01,"5 Rue du Luxembourg St, Bruxelles, BRU 1000"
177125,Lightning Charging Cable,1,14.95,04/08/22 15:06,"500 Rue du Luxembourg St, Charleroi, WHT 6000"
177126,27in 4K Gaming Monitor,1,389.99,04/12/22 18:20,"2 Rue de la Loi St, Bruxelles, BRU 1000"
177127,Bose SoundSport Headphones,1,99.99,04/30/22 19:08,"304 Rue Blaes St, Bruxelles, BRU 1000"
177128,AAA Batteries (4-pack),1,2.99,04/14/22 14:58,"698 Rue du Luxembourg St, Bruxelles, BRU 1000"
177129,AA Batteries (4-pack),2,3.84,04/29/22 22:50,"273 Rue du Marché aux Herbes St, Tournai, HAI 7500"
177130,27in 4K Gaming Monitor,1,389.99,04/17/22 17:03,"761 Avenue de la Toison d'Or St, Namur, NAM 5000"
177131,Google Phone,1,600,04/13/22 19:09,"621 Place Sainte-Catherine St, Namur, NAM 5000"
177132,Apple Airpods Headphones,1,150,04/22/22 12:23,"59 Boulevard Anspach St, Bruxelles, BRU 1000"
177133,27in FHD Monitor,1,149.99,04/12/22 18:13,"8 Boulevard Anspach St, Bruxelles, BRU 1000"
177134,iPhone,1,700,04/06/22 22:27,"94 Avenue des Arts St, Namur, NAM 5000"
177135,Lightning Charging Cable,1,14.95,04/28/22 11:14,"424 Rue du Bailli St, Charleroi, WHT 6000"
177136,AAA Batteries (4-pack),2,2.99,04/17/22 09:32,"436 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
177137,USB-C Charging Cable,1,11.95,04/22/22 15:40,"24 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
177138,USB-C Charging Cable,1,11.95,04/26/22 16:33,"897 Rue du Bailli St, Bruxelles, BRU 1000"
177139,Lightning Charging Cable,1,14.95,04/04/22 13:39,"425 Avenue Brugmann St, Courtrai, WVH 8500"
177140,Wired Headphones,1,11.99,04/10/22 12:14,"479 Rue de Flandre St, La Louvière, WHT 7100"
177141,Apple Airpods Headphones,1,150,04/13/22 11:05,"775 Rue de l'Ecuyer St, Verviers, LGE 4800"
177142,Lightning Charging Cable,1,14.95,04/30/22 18:29,"917 Rue Blaes St, Courtrai, WVH 8500"
177143,AA Batteries (4-pack),1,3.84,04/05/22 21:43,"802 Avenue Adolphe Buyl St, Bruxelles, BRU 1000"
177144,Apple Airpods Headphones,1,150,04/20/22 15:21,"124 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
177144,Bose SoundSport Headphones,1,99.99,04/20/22 15:21,"124 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
177145,Apple Airpods Headphones,1,150,04/03/22 17:03,"426 Rue Neuve St, Tournai, HAI 7500"
177146,AA Batteries (4-pack),1,3.84,04/12/22 16:49,"27 Rue du Page St, Bruxelles, BRU 1000"
177147,Lightning Charging Cable,1,14.95,04/28/22 16:32,"465 Avenue Louise St, Namur, NAM 5000"
177148,Google Phone,1,600,04/17/22 15:42,"631 Place Sainte-Catherine St, Mouscron, HAI 7700"
177148,USB-C Charging Cable,1,11.95,04/17/22 15:42,"631 Place Sainte-Catherine St, Mouscron, HAI 7700"
177149,AA Batteries (4-pack),1,3.84,04/28/22 14:18,"80 Avenue de la Toison d'Or St, La Louvière, WHT 7100"
177150,Apple Airpods Headphones,1,150,04/05/22 21:17,"439 Avenue Adolphe Buyl St, Charleroi, WHT 6000"
177151,AAA Batteries (4-pack),1,2.99,04/14/22 15:55,"927 Boulevard Anspach St, Charleroi, WHT 6000"
177152,Apple Airpods Headphones,1,150,04/18/22 21:46,"509 Avenue des Arts St, Charleroi, WHT 6000"
177153,Wired Headphones,1,11.99,04/02/22 07:50,"73 Avenue de Tervueren St, Bruxelles, BRU 1000"
177154,AA Batteries (4-pack),1,3.84,04/27/22 17:09,"618 Rue du Luxembourg St, Bruxelles, BRU 1000"
177155,AA Batteries (4-pack),1,3.84,04/02/22 07:50,"12 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
177156,AA Batteries (4-pack),1,3.84,04/17/22 08:31,"465 Boulevard Anspach St, Bruxelles, BRU 1000"
177157,Lightning Charging Cable,1,14.95,04/25/22 12:38,"355 Rue du Luxembourg St, Bruxelles, BRU 1000"
177158,Google Phone,1,600,04/16/22 06:12,"260 Rue Blaes St, Verviers, LGE 4800"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
177159,AAA Batteries (4-pack),1,2.99,04/14/22 18:18,"39 Rue Antoine Dansaert St, Mons, HAI 7000"
177160,iPhone,1,700,04/02/22 15:43,"857 Chaussée de Waterloo St, Bruxelles, BRU 1000"
177160,Lightning Charging Cable,1,14.95,04/02/22 15:43,"857 Chaussée de Waterloo St, Bruxelles, BRU 1000"
177161,AA Batteries (4-pack),1,3.84,04/22/22 16:59,"559 Rue Blaes St, Bruxelles, BRU 1000"
177162,Wired Headphones,1,11.99,04/08/22 20:10,"354 Avenue Louise St, Mons, HAI 7000"
177163,Google Phone,1,600,04/11/22 11:52,"276 Rue de l'Ecuyer St, Mons, HAI 7000"
177164,AA Batteries (4-pack),1,3.84,04/15/22 21:24,"304 Rue de l'Ecuyer St, Mons, HAI 7000"
177165,Apple Airpods Headphones,1,150,04/12/22 11:30,"695 Avenue des Arts St, Bruxelles, BRU 1000"
177166,Apple Airpods Headphones,1,150,04/18/22 12:32,"51 Rue du Luxembourg St, Namur, NAM 5000"
177167,AA Batteries (4-pack),1,3.84,04/06/22 11:27,"324 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
177168,Bose SoundSport Headphones,1,99.99,04/01/22 20:03,"303 Rue de la Loi St, Liège, WLG 4000"
177169,Lightning Charging Cable,2,14.95,04/08/22 06:19,"79 Avenue Franklin Roosevelt St, Liège, WLG 4000"
177169,Macbook Pro Laptop,1,1700,04/08/22 06:19,"79 Avenue Franklin Roosevelt St, Liège, WLG 4000"
177170,ThinkPad Laptop,1,999.99,04/04/22 13:12,"481 Rue du Luxembourg St, Charleroi, WHT 6000"
