Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
223617,Lightning Charging Cable,1,14.95,08/19/22 05:15,"904 Rue du Bailli St, Bruxelles, BRU 1000"
223618,Wired Headphones,2,11.99,08/26/22 00:18,"763 Rue Antoine Dansaert St, Mons, HAI 7000"
223619,Wired Headphones,1,11.99,08/20/22 20:23,"894 Rue Neuve St, Liège, WLG 4000"
223620,Vareebadd Phone,1,400.0,08/25/22 19:13,"311 Rue du Bailli St, Verviers, LGE 4800"
223621,USB-C Charging Cable,1,11.95,08/08/22 21:58,"14 Rue du Bailli St, Tournai, HAI 7500"
223622,AAA Batteries (4-pack),1,2.99,08/23/22 18:10,"943 Rue de la Loi St, Liège, WLG 4000"
223623,AAA Batteries (4-pack),2,2.99,08/05/22 20:30,"39 Avenue de Tervueren St, Bruxelles, BRU 1000"
223624,Wired Headphones,1,11.99,08/21/22 06:43,"466 Rue Royale St, La Louvière, WHT 7100"
223625,Apple Airpods Headphones,1,150.0,08/12/22 12:00,"469 Avenue Franklin Roosevelt St, Tournai, HAI 7500"
223626,USB-C Charging Cable,1,11.95,08/30/22 12:38,"823 Rue de l'Ecuyer St, Courtrai, WVH 8500"
223627,Bose SoundSport Headphones,1,99.99,08/10/22 13:43,"457 Rue du Bailli St, Bruxelles, BRU 1000"
223628,Lightning Charging Cable,1,14.95,08/24/22 08:59,"640 Avenue Brugmann St, Namur, NAM 5000"
223629,Apple Airpods Headphones,1,150.0,08/02/22 10:07,"778 Rue Neuve St, Charleroi, WHT 6000"
223630,AAA Batteries (4-pack),3,2.99,08/25/22 00:03,"270 Avenue des Arts St, Charleroi, WHT 6000"
223631,AA Batteries (4-pack),1,3.84,08/08/22 11:56,"257 Rue Neuve St, Bruxelles, BRU 1000"
223632,USB-C Charging Cable,1,11.95,08/24/22 18:42,"986 Rue du Page St, Liège, WLG 4000"
223633,AA Batteries (4-pack),1,3.84,08/03/22 23:45,"435 Rue Royale St, Verviers, LGE 4800"
223634,Lightning Charging Cable,1,14.95,08/14/22 17:56,"670 Avenue des Arts St, Charleroi, WHT 6000"
223635,27in FHD Monitor,1,149.99,08/08/22 09:58,"278 Rue Antoine Dansaert St, Verviers, LGE 4800"
