Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
268350,Apple Airpods Headphones,1,150.0,12/25/22 08:56,"851 Boulevard Anspach St, Charleroi, WHT 6000"
268351,Google Phone,1,600.0,12/15/22 19:58,"313 Rue Neuve St, Liège, WLG 4000"
268351,USB-C Charging Cable,1,11.95,12/15/22 19:58,"313 Rue Neuve St, Liège, WLG 4000"
268352,Lightning Charging Cable,1,14.95,12/29/22 11:45,"926 Rue Blaes St, Tournai, HAI 7500"
268353,20in Monitor,1,109.99,12/07/22 20:43,"912 Rue de Flandre St, Mons, HAI 7000"
268354,AA Batteries (4-pack),2,3.84,12/15/22 13:17,"76 Boulevard Anspach St, Bruxelles, BRU 1000"
268355,Wired Headphones,1,11.99,12/20/22 00:57,"865 Avenue Franklin Roosevelt St, Charleroi, WHT 6000"
268356,20in Monitor,1,109.99,12/03/22 22:11,"433 Boulevard Anspach St, La Louvière, WHT 7100"
268357,AAA Batteries (4-pack),1,2.99,12/30/22 08:10,"132 Avenue de Tervueren St, Liège, WLG 4000"
268358,AA Batteries (4-pack),1,3.84,12/27/22 16:15,"741 Rue Haute St, Mouscron, HAI 7700"
268359,AA Batteries (4-pack),1,3.84,12/22/22 10:44,"83 Place Sainte-Catherine St, Bruxelles, BRU 1000"
268360,AAA Batteries (4-pack),1,2.99,12/22/22 23:11,"832 Rue de Flandre St, Charleroi, WHT 6000"
268361,Bose SoundSport Headphones,1,99.99,12/05/22 10:52,"138 Avenue Franklin Roosevelt St, Bruxelles, BRU 1000"
268362,27in 4K Gaming Monitor,1,389.99,12/15/22 19:54,"242 Rue Royale St, Bruxelles, BRU 1000"
268363,AAA Batteries (4-pack),2,2.99,12/07/22 23:23,"46 Rue de Flandre St, Tournai, HAI 7500"
268364,27in FHD Monitor,1,149.99,12/12/22 12:28,"171 Rue du Page St, Bruxelles, BRU 1000"
268365,27in FHD Monitor,1,149.99,12/04/22 18:23,"36 Avenue Louise St, Mouscron, HAI 7700"
,,,,,
268366,Google Phone,1,600,12/03/22 11:45,"371 Rue Haute St, Bruxelles, BRU 1000"
268367,Lightning Charging Cable,1,14.95,12/01/22 15:07,"889 Avenue des Arts St, Verviers, LGE 4800"
268368,USB-C Charging Cable,1,11.95,12/31/22 16:27,"975 Rue Haute St, Bruxelles, BRU 1000"
268369,27in 4K Gaming Monitor,1,389.99,12/27/22 01:32,"342 Rue Saint-Jacques St, Liège, WLG 4000"
268370,Wired Headphones,1,11.99,12/10/22 20:37,"885 Rue du Midi St, Charleroi, WHT 6000"
268371,Wired Headphones,1,11.99,12/03/22 17:53,"427 Boulevard Anspach St, Bruxelles, BRU 1000"
268372,Google Phone,1,600,12/25/22 17:24,"14 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
268373,Bose SoundSport Headphones,1,99.99,12/06/22 03:07,"708 Place Sainte-Catherine St, Bruxelles, BRU 1000"
268374,USB-C Charging Cable,1,11.95,12/26/22 20:56,"309 Rue du Page St, Mouscron, HAI 7700"
268375,Apple Airpods Headphones,1,150,12/27/22 12:32,"353 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
268376,Vareebadd Phone,1,400,12/15/22 23:26,"913 Rue Blaes St, Charleroi, WHT 6000"
268377,Lightning Charging Cable,1,14.95,12/26/22 12:09,"634 Avenue Louise St, Liège, WLG 4000"
268378,AA Batteries (4-pack),3,3.84,12/01/22 19:16,"340 Rue Antoine Dansaert St, Charleroi, WHT 6000"
268379,AA Batteries (4-pack),1,3.84,12/23/22 12:45,"938 Rue Royale St, Charleroi, WHT 6000"
268380,Wired Headphones,2,11.99,12/07/22 21:14,"740 Rue du Page St, La Louvière, WHT 7100"
268381,Lightning Charging Cable,1,14.95,12/04/22 17:30,"7 Rue Saint-Jacques St, Bruxelles, BRU 1000"
268382,USB-C Charging Cable,1,11.95,12/26/22 01:46,"54 Rue du Marché aux Herbes St, Verviers, LGE 4800"
268383,AAA Batteries (4-pack),2,2.99,12/06/22 18:38,"110 Avenue Brugmann St, Mons, HAI 7000"
268384,AA Batteries (4-pack),1,3.84,12/17/22 11:40,"682 Rue du Bailli St, Bruxelles, BRU 1000"
268385,Lightning Charging Cable,1,14.95,12/29/22 06:33,"437 Rue de Flandre St, Tournai, HAI 7500"
268385,27in FHD Monitor,1,149.99,12/29/22 06:33,"437 Rue de Flandre St, Tournai, HAI 7500"
268386,Apple Airpods Headphones,1,150,12/27/22 11:12,"28 Rue de la Loi St, Bruxelles, BRU 1000"
268387,Flatscreen TV,1,300,12/13/22 23:06,"527 Rue de la Loi St, Bruxelles, BRU 1000"
268388,Lightning Charging Cable,1,14.95,12/24/22 11:12,"205 Rue de Flandre St, Bruxelles, BRU 1000"
268389,Flatscreen TV,1,300,12/23/22 09:02,"82 Rue Haute St, Charleroi, WHT 6000"
268390,Wired Headphones,1,11.99,12/02/22 18:49,"838 Rue de l'Ecuyer St, Tournai, HAI 7500"
268391,AAA Batteries (4-pack),1,2.99,12/09/22 17:12,"773 Rue du Luxembourg St, Bruxelles, BRU 1000"
268392,Google Phone,1,600,12/01/22 20:13,"778 Rue Saint-Jacques St, Mons, HAI 7000"
268393,USB-C Charging Cable,1,11.95,12/02/22 23:29,"70 Rue de Flandre St, Liège, WLG 4000"
268394,Macbook Pro Laptop,1,1700,12/20/22 11:36,"612 Rue Blaes St, Bruxelles, BRU 1000"
268395,Flatscreen TV,1,300,12/05/22 08:44,"274 Chaussée de Waterloo St, Verviers, LGE 4800"
268396,Lightning Charging Cable,2,14.95,12/03/22 19:52,"153 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
268397,Lightning Charging Cable,1,14.95,12/04/22 09:49,"208 Rue Antoine Dansaert St, Verviers, LGE 4800"
268398,ThinkPad Laptop,1,999.99,12/21/22 00:17,"216 Avenue des Arts St, Bruxelles, BRU 1000"
268399,34in Ultrawide Monitor,1,379.99,12/06/22 17:55,"482 Avenue des Arts St, Tournai, HAI 7500"
268400,USB-C Charging Cable,1,11.95,12/05/22 23:09,"640 Rue de Flandre St, Bruxelles, BRU 1000"
268401,AAA Batteries (4-pack),2,2.99,12/08/22 09:55,"199 Avenue des Arts St, Courtrai, WVH 8500"
268402,AAA Batteries (4-pack),2,2.99,12/07/22 18:53,"972 Place Sainte-Catherine St, Liège, WLG 4000"
268403,AA Batteries (4-pack),2,3.84,12/10/22 22:43,"832 Rue Haute St, Liège, WLG 4000"
268404,Bose SoundSport Headphones,1,99.99,12/13/22 15:07,"626 Rue du Luxembourg St, Liège, WLG 4000"
268405,Lightning Charging Cable,1,14.95,12/02/22 08:39,"293 Rue Antoine Dansaert St, Namur, NAM 5000"
268406,AA Batteries (4-pack),1,3.84,12/12/22 16:15,"683 Rue Antoine Dansaert St, Mons, HAI 7000"
268407,Apple Airpods Headphones,1,150,12/12/22 08:25,"275 Rue de la Loi St, Bruxelles, BRU 1000"
268408,AAA Batteries (4-pack),4,2.99,12/26/22 18:30,"660 Avenue Adolphe Buyl St, Bruxelles, BRU 1000"
268409,27in FHD Monitor,1,149.99,12/14/22 18:35,"112 Rue du Luxembourg St, Liège, WLG 4000"
268410,AAA Batteries (4-pack),1,2.99,12/05/22 19:05,"414 Avenue de la Toison d'Or St, Verviers, LGE 4800"
268411,USB-C Charging Cable,1,11.95,12/15/22 19:45,"25 Rue du Luxembourg St, Mouscron, HAI 7700"
268412,Lightning Charging Cable,1,14.95,12/25/22 22:21,"688 Rue de la Loi St, Bruxelles, BRU 1000"
268413,AAA Batteries (4-pack),1,2.99,12/11/22 10:15,"946 Rue Antoine Dansaert St, Courtrai, WVH 8500"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
268414,Flatscreen TV,1,300,12/02/22 12:16,"94 Avenue Brugmann St, Courtrai, WVH 8500"
268415,Wired Headphones,2,11.99,12/16/22 12:52,"885 Avenue Louise St, Bruxelles, BRU 1000"
