Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
155429,AA Batteries (4-pack),1,3.84,02/09/22 18:19,"669 Rue du Luxembourg St, Bruxelles, BRU 1000"
155430,AAA Batteries (4-pack),1,2.99,02/02/22 19:32,"679 Rue Blaes St, Mouscron, HAI 7700"
155431,AAA Batteries (4-pack),2,2.99,02/23/22 09:20,"133 Avenue Adolphe Buyl St, Charleroi, WHT 6000"
155432,Bose SoundSport Headphones,1,99.99,02/03/22 12:31,"237 Rue Neuve St, Mouscron, HAI 7700"
155433,USB-C Charging Cable,1,11.95,02/02/22 13:47,"94 Rue Saint-Jacques St, Mons, HAI 7000"
155434,Apple Airpods Headphones,1,150.0,02/22/22 15:06,"798 Rue du Page St, Bruxelles, BRU 1000"
155435,Wired Headphones,1,11.99,02/22/22 08:55,"855 Rue du Luxembourg St, Namur, NAM 5000"
155436,Bose SoundSport Headphones,1,99.99,02/01/22 13:54,"704 Avenue de la Toison d'Or St, Mons, HAI 7000"
155437,USB-C Charging Cable,1,11.95,02/10/22 18:40,"824 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
155438,AAA Batteries (4-pack),1,2.99,02/14/22 11:42,"1 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
155439,Apple Airpods Headphones,1,150.0,02/12/22 13:12,"860 Rue du Marché aux Herbes St, La Louvière, WHT 7100"
155440,Wired Headphones,1,11.99,02/01/22 19:04,"205 Rue Antoine Dansaert St, Namur, NAM 5000"
155441,Bose SoundSport Headphones,1,99.99,02/12/22 10:32,"46 Rue du Bailli St, Charleroi, WHT 6000"
155442,27in 4K Gaming Monitor,1,389.99,02/01/22 17:51,"287 Rue de la Loi St, Charleroi, WHT 6000"
155443,USB-C Charging Cable,1,11.95,02/22/22 11:30,"539 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
155444,USB-C Charging Cable,1,11.95,02/16/22 11:27,"869 Rue Antoine Dansaert St, Mouscron, HAI 7700"
155445,Wired Headphones,1,11.99,02/09/22 16:11,"348 Rue du Bailli St, Namur, NAM 5000"
155446,USB-C Charging Cable,1,11.95,02/03/22 20:45,"931 Place Sainte-Catherine St, La Louvière, WHT 7100"
155447,AAA Batteries (4-pack),1,2.99,02/19/22 01:23,"88 Avenue de la Toison d'Or St, Mouscron, HAI 7700"
155448,Lightning Charging Cable,1,14.95,02/13/22 13:13,"242 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
155449,USB-C Charging Cable,1,11.95,02/16/22 20:57,"971 Rue Haute St, Charleroi, WHT 6000"
155450,Lightning Charging Cable,1,14.95,02/13/22 20:54,"896 Rue Saint-Jacques St, Courtrai, WVH 8500"
155451,ThinkPad Laptop,1,999.99,02/01/22 12:27,"859 Avenue de Tervueren St, Courtrai, WVH 8500"
155452,Lightning Charging Cable,1,14.95,02/18/22 19:59,"92 Avenue Brugmann St, Liège, WLG 4000"
155453,iPhone,1,700.0,02/20/22 16:27,"828 Rue Saint-Jacques St, Mons, HAI 7000"
155454,USB-C Charging Cable,1,11.95,02/09/22 11:15,"97 Rue Antoine Dansaert St, Charleroi, WHT 6000"
155455,iPhone,1,700.0,02/17/22 23:31,"34 Rue du Luxembourg St, Liège, WLG 4000"
155455,Lightning Charging Cable,1,14.95,02/17/22 23:31,"34 Rue du Luxembourg St, Liège, WLG 4000"
155456,Apple Airpods Headphones,1,150.0,02/22/22 08:44,"66 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
155457,Wired Headphones,1,11.99,02/01/22 11:50,"924 Rue du Page St, Charleroi, WHT 6000"
155458,27in FHD Monitor,1,149.99,02/04/22 08:43,"105 Rue Saint-Jacques St, Bruxelles, BRU 1000"
155459,Wired Headphones,1,11.99,02/14/22 08:08,"883 Avenue des Arts St, Bruxelles, BRU 1000"
155460,Apple Airpods Headphones,1,150.0,02/16/22 15:16,"866 Rue Saint-Jacques St, Mons, HAI 7000"
155461,USB-C Charging Cable,1,11.95,02/21/22 17:25,"817 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
155462,AA Batteries (4-pack),1,3.84,02/06/22 19:30,"290 Rue Antoine Dansaert St, Mouscron, HAI 7700"
155463,34in Ultrawide Monitor,1,379.99,02/18/22 17:58,"800 Rue du Midi St, Charleroi, WHT 6000"
155464,27in FHD Monitor,1,149.99,02/27/22 21:09,"636 Rue du Page St, Bruxelles, BRU 1000"
155465,AAA Batteries (4-pack),3,2.99,02/10/22 11:57,"230 Rue du Luxembourg St, Bruxelles, BRU 1000"
155466,Flatscreen TV,2,300.0,02/10/22 11:10,"594 Place Sainte-Catherine St, Bruxelles, BRU 1000"
155467,Bose SoundSport Headphones,1,99.99,02/01/22 21:23,"651 Rue de la Loi St, Mons, HAI 7000"
155468,Apple Airpods Headphones,1,150.0,02/15/22 19:30,"968 Place Sainte-Catherine St, Mons, HAI 7000"
155469,Macbook Pro Laptop,1,1700.0,02/20/22 22:13,"798 Avenue Brugmann St, Mons, HAI 7000"
155470,Lightning Charging Cable,1,14.95,02/01/22 15:19,"142 Rue Blaes St, Bruxelles, BRU 1000"
155471,AAA Batteries (4-pack),1,2.99,02/11/22 17:36,"630 Boulevard Anspach St, Liège, WLG 4000"
155472,Bose SoundSport Headphones,1,99.99,02/04/22 23:03,"825 Avenue Adolphe Buyl St, Liège, WLG 4000"
155473,AA Batteries (4-pack),1,3.84,02/11/22 16:59,"722 Avenue Brugmann St, Verviers, LGE 4800"
155474,Apple Airpods Headphones,1,150.0,02/01/22 18:53,"796 Place Sainte-Catherine St, Bruxelles, BRU 1000"
155475,Apple Airpods Headphones,1,150.0,02/06/22 21:13,"663 Rue Blaes St, Liège, WLG 4000"
155476,AAA Batteries (4-pack),2,2.99,02/17/22 18:39,"222 Rue du Bailli St, Liège, WLG 4000"
155477,USB-C Charging Cable,1,11.95,02/06/22 18:03,"583 Avenue Louise St, Bruxelles, BRU 1000"
155478,Wired Headphones,1,11.99,02/22/22 12:49,"24 Avenue Franklin Roosevelt St, Bruxelles, BRU 1000"
155479,Vareebadd Phone,1,400.0,02/05/22 12:45,"47 Avenue Louise St, Courtrai, WVH 8500"
155480,Lightning Charging Cable,2,14.95,02/26/22 18:19,"168 Rue du Luxembourg St, Liège, WLG 4000"
155481,Lightning Charging Cable,1,14.95,02/04/22 21:23,"265 Rue Haute St, Charleroi, WHT 6000"
155482,34in Ultrawide Monitor,1,379.99,02/24/22 13:45,"705 Rue de la Loi St, Bruxelles, BRU 1000"
155483,Wired Headphones,1,11.99,02/27/22 18:46,"730 Avenue Louise St, Courtrai, WVH 8500"
155484,iPhone,1,700.0,02/22/22 14:31,"762 Rue du Luxembourg St, Liège, WLG 4000"
155485,Google Phone,1,600.0,02/01/22 17:01,"751 Rue du Luxembourg St, Bruxelles, BRU 1000"
155486,USB-C Charging Cable,1,11.95,02/22/22 12:37,"197 Place Sainte-Catherine St, Charleroi, WHT 6000"
155487,AAA Batteries (4-pack),2,2.99,02/14/22 05:31,"612 Rue de la Loi St, Charleroi, WHT 6000"
155488,iPhone,1,700.0,02/06/22 10:49,"230 Rue Antoine Dansaert St, Verviers, LGE 4800"
155489,Wired Headphones,1,11.99,02/05/22 20:30,"445 Avenue Adolphe Buyl St, Liège, WLG 4000"
155490,20in Monitor,1,109.99,02/13/22 08:59,"30 Rue de l'Ecuyer St, Liège, WLG 4000"
155491,AA Batteries (4-pack),2,3.84,02/07/22 10:39,"459 Rue Haute St, Bruxelles, BRU 1000"
155492,Lightning Charging Cable,1,14.95,02/23/22 10:23,"130 Rue Antoine Dansaert St, Namur, NAM 5000"
155493,Bose SoundSport Headphones,1,99.99,02/25/22 19:06,"109 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
155494,27in FHD Monitor,1,149.99,02/27/22 11:10,"198 Rue de Flandre St, Charleroi, WHT 6000"
155495,AA Batteries (4-pack),1,3.84,02/20/22 00:05,"330 Rue du Bailli St, Verviers, LGE 4800"
155496,AAA Batteries (4-pack),1,2.99,02/08/22 12:50,"964 Rue Antoine Dansaert St, Verviers, LGE 4800"
155497,Wired Headphones,1,11.99,02/10/22 23:30,"70 Chaussée de Waterloo St, Mouscron, HAI 7700"
155498,Apple Airpods Headphones,1,150.0,02/06/22 13:26,"158 Rue du Luxembourg St, Mouscron, HAI 7700"
155499,AA Batteries (4-pack),1,3.84,02/27/22 22:54,"960 Rue Haute St, Mouscron, HAI 7700"
155500,Bose SoundSport Headphones,1,99.99,02/21/22 14:18,"81 Rue du Midi St, Mouscron, HAI 7700"
155501,AAA Batteries (4-pack),1,2.99,02/11/22 16:40,"75 Rue Blaes St, Charleroi, WHT 6000"
155502,Wired Headphones,1,11.99,02/08/22 11:55,"275 Rue Saint-Jacques St, Namur, NAM 5000"
155503,iPhone,1,700.0,02/03/22 13:24,"99 Avenue Brugmann St, La Louvière, WHT 7100"
155504,AAA Batteries (4-pack),1,2.99,02/01/22 18:31,"762 Rue du Midi St, Liège, WLG 4000"
155505,Macbook Pro Laptop,1,1700.0,02/09/22 21:00,"326 Rue du Bailli St, Courtrai, WVH 8500"
155506,iPhone,1,700.0,02/08/22 18:28,"604 Rue de Flandre St, La Louvière, WHT 7100"
155507,Wired Headphones,1,11.99,02/06/22 10:06,"835 Avenue Louise St, Verviers, LGE 4800"
155508,Bose SoundSport Headphones,1,99.99,02/11/22 09:33,"206 Avenue de la Toison d'Or St, Liège, WLG 4000"
155509,AAA Batteries (4-pack),1,2.99,02/17/22 15:36,"837 Rue du Bailli St, Bruxelles, BRU 1000"
155510,Wired Headphones,1,11.99,02/12/22 14:31,"910 Rue Blaes St, Liège, WLG 4000"
155511,iPhone,1,700.0,02/01/22 18:53,"271 Avenue de la Toison d'Or St, Verviers, LGE 4800"
155511,Lightning Charging Cable,1,14.95,02/01/22 18:53,"271 Avenue de la Toison d'Or St, Verviers, LGE 4800"
155512,Lightning Charging Cable,1,14.95,02/03/22 01:04,"277 Rue du Luxembourg St, Liège, WLG 4000"
155513,34in Ultrawide Monitor,1,379.99,02/20/22 18:06,"21 Avenue Brugmann St, Bruxelles, BRU 1000"
155514,AAA Batteries (4-pack),1,2.99,02/04/22 11:25,"372 Rue Antoine Dansaert St, Charleroi, WHT 6000"
155515,AA Batteries (4-pack),1,3.84,02/17/22 12:15,"271 Rue de la Loi St, Bruxelles, BRU 1000"
155516,LG Washing Machine,1,600.0,02/16/22 22:21,"398 Avenue Brugmann St, Bruxelles, BRU 1000"
155517,USB-C Charging Cable,1,11.95,02/20/22 12:38,"72 Rue Haute St, Bruxelles, BRU 1000"
155518,27in 4K Gaming Monitor,1,389.99,02/17/22 09:13,"364 Rue Haute St, Mouscron, HAI 7700"
155519,34in Ultrawide Monitor,1,379.99,02/24/22 20:32,"332 Rue Blaes St, Charleroi, WHT 6000"
155520,ThinkPad Laptop,1,999.99,02/06/22 07:16,"516 Avenue Adolphe Buyl St, La Louvière, WHT 7100"
155521,Apple Airpods Headphones,1,150.0,02/07/22 15:35,"301 Rue de la Loi St, Verviers, LGE 4800"
155522,Apple Airpods Headphones,1,150.0,02/13/22 18:54,"153 Rue du Luxembourg St, Bruxelles, BRU 1000"
155523,27in 4K Gaming Monitor,1,389.99,02/28/22 13:44,"966 Rue Antoine Dansaert St, La Louvière, WHT 7100"
155524,Macbook Pro Laptop,1,1700.0,02/17/22 21:22,"534 Rue Neuve St, Liège, WLG 4000"
155525,AAA Batteries (4-pack),1,2.99,02/07/22 20:00,"235 Rue du Page St, Bruxelles, BRU 1000"
155526,AA Batteries (4-pack),1,3.84,02/11/22 09:04,"676 Boulevard Anspach St, Bruxelles, BRU 1000"
155527,AAA Batteries (4-pack),1,2.99,02/15/22 23:48,"238 Rue Antoine Dansaert St, Charleroi, WHT 6000"
155528,34in Ultrawide Monitor,1,379.99,02/28/22 10:06,"285 Avenue Franklin Roosevelt St, Bruxelles, BRU 1000"
155529,iPhone,1,700.0,02/23/22 15:46,"247 Chaussée de Waterloo St, Bruxelles, BRU 1000"
155530,Wired Headphones,1,11.99,02/10/22 20:33,"402 Avenue des Arts St, Charleroi, WHT 6000"
155531,AA Batteries (4-pack),1,3.84,02/16/22 14:57,"626 Rue Antoine Dansaert St, Charleroi, WHT 6000"
155532,Wired Headphones,1,11.99,02/11/22 17:23,"968 Avenue Louise St, Liège, WLG 4000"
155533,Wired Headphones,1,11.99,02/06/22 00:31,"522 Rue de Flandre St, Charleroi, WHT 6000"
155534,AA Batteries (4-pack),2,3.84,02/21/22 18:05,"954 Avenue Adolphe Buyl St, Namur, NAM 5000"
155535,AA Batteries (4-pack),1,3.84,02/24/22 17:04,"470 Avenue Franklin Roosevelt St, Tournai, HAI 7500"
155536,27in FHD Monitor,1,149.99,02/16/22 17:09,"818 Rue Antoine Dansaert St, Liège, WLG 4000"
155537,AA Batteries (4-pack),1,3.84,02/21/22 13:46,"52 Rue Antoine Dansaert St, Mouscron, HAI 7700"
155538,Bose SoundSport Headphones,1,99.99,02/02/22 15:25,"11 Rue Blaes St, Mouscron, HAI 7700"
,,,,,
155539,AA Batteries (4-pack),1,3.84,02/08/22 22:15,"931 Rue Saint-Jacques St, Verviers, LGE 4800"
155540,27in FHD Monitor,1,149.99,02/08/22 10:48,"774 Rue de l'Ecuyer St, La Louvière, WHT 7100"
155541,Lightning Charging Cable,1,14.95,02/20/22 11:08,"438 Rue de Flandre St, Mouscron, HAI 7700"
155542,Lightning Charging Cable,1,14.95,02/13/22 01:12,"43 Rue Saint-Jacques St, La Louvière, WHT 7100"
155543,Lightning Charging Cable,1,14.95,02/22/22 08:09,"807 Rue du Luxembourg St, Charleroi, WHT 6000"
155543,Lightning Charging Cable,1,14.95,02/22/22 08:09,"807 Rue du Luxembourg St, Charleroi, WHT 6000"
155544,USB-C Charging Cable,1,11.95,02/22/22 17:25,"316 Rue du Marché aux Herbes St, Namur, NAM 5000"
155545,USB-C Charging Cable,1,11.95,02/10/22 15:49,"19 Chaussée de Waterloo St, Namur, NAM 5000"
155546,USB-C Charging Cable,1,11.95,02/15/22 19:42,"837 Rue Neuve St, Bruxelles, BRU 1000"
155547,Flatscreen TV,1,300,02/26/22 18:34,"677 Avenue de la Toison d'Or St, Liège, WLG 4000"
155548,Wired Headphones,1,11.99,02/18/22 21:10,"421 Rue Haute St, Namur, NAM 5000"
155549,Google Phone,1,600,02/17/22 02:26,"559 Rue Neuve St, Bruxelles, BRU 1000"
155550,AAA Batteries (4-pack),2,2.99,02/08/22 11:41,"814 Avenue des Arts St, Bruxelles, BRU 1000"
155551,27in 4K Gaming Monitor,1,389.99,02/13/22 19:56,"814 Boulevard Anspach St, Namur, NAM 5000"
