Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,AA Batteries (4-pack),1,3.84,01/03/22 12:34,"464 Rue Saint-Jacques St, Liège, WLG 4000"
141235,Lightning Charging Cable,1,14.95,01/02/22 17:48,"151 Avenue de Tervueren St, Bruxelles, BRU 1000"
141236,AAA Batteries (4-pack),3,2.99,01/24/22 13:05,"920 Rue du Page St, Namur, NAM 5000"
141237,Flatscreen TV,1,300.0,01/28/22 19:52,"649 Avenue Louise St, Bruxelles, BRU 1000"
141238,34in Ultrawide Monitor,1,379.99,01/14/22 12:02,"896 Rue du Luxembourg St, Courtrai, WVH 8500"
141239,Google Phone,1,600.0,01/11/22 12:42,"300 Rue du Page St, Bruxelles, BRU 1000"
141240,iPhone,1,700.0,01/25/22 09:56,"720 Avenue Adolphe Buyl St, Mons, HAI 7000"
141241,Apple Airpods Headphones,1,150.0,01/05/22 13:20,"271 Rue Blaes St, La Louvière, WHT 7100"
141242,iPhone,1,700.0,01/09/22 01:14,"51 Rue du Luxembourg St, Charleroi, WHT 6000"
141243,Apple Airpods Headphones,1,150.0,01/06/22 14:06,"463 Rue du Bailli St, Bruxelles, BRU 1000"
141244,Macbook Pro Laptop,1,1700.0,01/16/22 15:40,"53 Rue du Bailli St, Charleroi, WHT 6000"
141245,Apple Airpods Headphones,1,150.0,01/31/22 13:34,"623 Boulevard Anspach St, Liège, WLG 4000"
141246,Lightning Charging Cable,1,14.95,01/21/22 20:08,"697 Chaussée de Waterloo St, Liège, WLG 4000"
141247,AA Batteries (4-pack),1,3.84,01/23/22 22:06,"487 Chaussée de Waterloo St, Verviers, LGE 4800"
141248,Apple Airpods Headphones,1,150.0,01/28/22 23:47,"683 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
141249,USB-C Charging Cable,1,11.95,01/22/22 08:36,"528 Avenue Louise St, Bruxelles, BRU 1000"
141250,Macbook Pro Laptop,1,1700.0,01/26/22 09:19,"890 Rue du Marché aux Herbes St, Charleroi, WHT 6000"
141251,Lightning Charging Cable,1,14.95,01/06/22 21:11,"214 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
141252,AAA Batteries (4-pack),2,2.99,01/08/22 21:53,"964 Rue de la Loi St, Bruxelles, BRU 1000"
141253,LG Dryer,1,600.0,01/07/22 00:19,"530 Avenue Adolphe Buyl St, Bruxelles, BRU 1000"
141254,Macbook Pro Laptop,1,1700.0,01/23/22 11:05,"102 Avenue Adolphe Buyl St, Namur, NAM 5000"
141255,iPhone,1,700.0,01/05/22 07:32,"854 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
141256,Google Phone,1,600.0,01/29/22 11:16,"727 Rue du Marché aux Herbes St, Courtrai, WVH 8500"
141257,iPhone,1,700.0,01/02/22 20:19,"860 Rue de l'Ecuyer St, Liège, WLG 4000"
141258,Wired Headphones,2,11.99,01/05/22 16:43,"941 Rue de la Loi St, Bruxelles, BRU 1000"
141259,ThinkPad Laptop,1,999.99,01/27/22 11:53,"826 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
141260,AA Batteries (4-pack),2,3.84,01/19/22 13:19,"122 Rue Saint-Jacques St, Bruxelles, BRU 1000"
141261,AA Batteries (4-pack),1,3.84,01/31/22 08:35,"40 Rue Saint-Jacques St, Bruxelles, BRU 1000"
141262,AAA Batteries (4-pack),2,2.99,01/07/22 17:01,"13 Avenue de la Toison d'Or St, Namur, NAM 5000"
141263,USB-C Charging Cable,1,11.95,01/23/22 19:56,"951 Rue du Bailli St, Bruxelles, BRU 1000"
141264,20in Monitor,1,109.99,01/21/22 17:30,"299 Avenue de Tervueren St, Mouscron, HAI 7700"
141265,AA Batteries (4-pack),1,3.84,01/11/22 14:03,"512 Chaussée de Waterloo St, Namur, NAM 5000"
141266,Flatscreen TV,1,300.0,01/27/22 19:57,"77 Rue Antoine Dansaert St, Liège, WLG 4000"
141267,AA Batteries (4-pack),1,3.84,01/03/22 07:54,"637 Avenue de Tervueren St, Mons, HAI 7000"
141268,Macbook Pro Laptop,1,1700.0,01/23/22 21:29,"397 Rue Antoine Dansaert St, Charleroi, WHT 6000"
141269,Apple Airpods Headphones,1,150.0,01/21/22 15:33,"489 Rue Royale St, Charleroi, WHT 6000"
141269,ThinkPad Laptop,1,999.99,01/21/22 15:33,"489 Rue Royale St, Charleroi, WHT 6000"
141270,AA Batteries (4-pack),1,3.84,01/30/22 19:48,"301 Avenue Brugmann St, Bruxelles, BRU 1000"
141271,Apple Airpods Headphones,1,150.0,01/20/22 08:22,"403 Avenue Brugmann St, La Louvière, WHT 7100"
141272,USB-C Charging Cable,1,11.95,01/31/22 17:16,"37 Avenue Brugmann St, Mons, HAI 7000"
