Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
212605,Apple Airpods Headphones,1,150.0,07/28/22 14:44,"37 Rue du Midi St, Bruxelles, BRU 1000"
212606,27in 4K Gaming Monitor,1,389.99,07/05/22 06:50,"689 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
212607,USB-C Charging Cable,1,11.95,07/30/22 08:52,"135 Rue Antoine Dansaert St, Liège, WLG 4000"
212608,Google Phone,1,600.0,07/04/22 14:50,"873 Avenue Adolphe Buyl St, Charleroi, WHT 6000"
212609,Lightning Charging Cable,1,14.95,07/04/22 12:33,"290 Chaussée de Waterloo St, Mouscron, HAI 7700"
212610,Macbook Pro Laptop,1,1700.0,07/04/22 19:23,"575 Chaussée de Waterloo St, La Louvière, WHT 7100"
212611,Wired Headphones,3,11.99,07/28/22 17:23,"395 Rue Antoine Dansaert St, Charleroi, WHT 6000"
212612,USB-C Charging Cable,1,11.95,07/29/22 17:00,"303 Rue de Flandre St, Liège, WLG 4000"
212613,Lightning Charging Cable,1,14.95,07/16/22 16:34,"494 Rue Haute St, Bruxelles, BRU 1000"
212614,27in FHD Monitor,1,149.99,07/21/22 18:47,"207 Rue de Flandre St, Bruxelles, BRU 1000"
212615,AA Batteries (4-pack),1,3.84,07/10/22 22:01,"112 Rue du Midi St, Liège, WLG 4000"
212616,Flatscreen TV,1,300.0,07/14/22 21:54,"979 Rue du Midi St, La Louvière, WHT 7100"
212617,AA Batteries (4-pack),1,3.84,07/04/22 07:30,"823 Rue du Bailli St, Courtrai, WVH 8500"
212618,Wired Headphones,1,11.99,07/12/22 13:54,"852 Rue du Page St, Bruxelles, BRU 1000"
212619,USB-C Charging Cable,1,11.95,07/31/22 18:13,"326 Rue de la Loi St, La Louvière, WHT 7100"
212620,Lightning Charging Cable,1,14.95,07/15/22 08:44,"450 Rue Saint-Jacques St, Charleroi, WHT 6000"
212621,USB-C Charging Cable,1,11.95,07/29/22 07:22,"663 Rue du Page St, Bruxelles, BRU 1000"
212622,Lightning Charging Cable,1,14.95,07/22/22 20:01,"619 Rue de la Loi St, Bruxelles, BRU 1000"
212623,Apple Airpods Headphones,1,150.0,07/04/22 13:11,"258 Rue du Midi St, Liège, WLG 4000"
212624,Apple Airpods Headphones,1,150.0,07/31/22 10:16,"736 Rue Saint-Jacques St, Verviers, LGE 4800"
212625,USB-C Charging Cable,1,11.95,07/04/22 14:02,"92 Rue du Midi St, Bruxelles, BRU 1000"
212626,27in FHD Monitor,1,149.99,07/28/22 11:04,"624 Avenue Brugmann St, Bruxelles, BRU 1000"
212627,Lightning Charging Cable,1,14.95,07/10/22 05:51,"20 Avenue Louise St, Charleroi, WHT 6000"
212628,Wired Headphones,1,11.99,07/04/22 18:20,"81 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
212629,34in Ultrawide Monitor,1,379.99,07/31/22 09:01,"766 Rue du Bailli St, Charleroi, WHT 6000"
212630,AA Batteries (4-pack),1,3.84,07/20/22 19:46,"15 Rue de l'Ecuyer St, Liège, WLG 4000"
212630,USB-C Charging Cable,1,11.95,07/20/22 19:46,"15 Rue de l'Ecuyer St, Liège, WLG 4000"
212631,AA Batteries (4-pack),2,3.84,07/09/22 20:50,"382 Rue du Marché aux Herbes St, Mons, HAI 7000"
212632,AA Batteries (4-pack),1,3.84,07/27/22 13:35,"927 Avenue de Tervueren St, Mons, HAI 7000"
212633,AA Batteries (4-pack),2,3.84,07/30/22 23:46,"556 Rue Blaes St, Courtrai, WVH 8500"
212634,AA Batteries (4-pack),1,3.84,07/07/22 17:41,"761 Avenue de la Toison d'Or St, Mons, HAI 7000"
212635,Lightning Charging Cable,1,14.95,07/30/22 18:34,"412 Chaussée de Waterloo St, Mons, HAI 7000"
212636,34in Ultrawide Monitor,1,379.99,07/25/22 10:02,"361 Boulevard Anspach St, Mons, HAI 7000"
212637,Google Phone,1,600.0,07/31/22 19:22,"735 Rue Saint-Jacques St, Tournai, HAI 7500"
212638,27in FHD Monitor,1,149.99,07/07/22 10:51,"79 Avenue des Arts St, Mons, HAI 7000"
212639,Macbook Pro Laptop,1,1700.0,07/27/22 12:16,"914 Boulevard Anspach St, Bruxelles, BRU 1000"
212640,AA Batteries (4-pack),1,3.84,07/15/22 00:35,"25 Avenue Brugmann St, Charleroi, WHT 6000"
212640,USB-C Charging Cable,1,11.95,07/15/22 00:35,"25 Avenue Brugmann St, Charleroi, WHT 6000"
212641,AA Batteries (4-pack),2,3.84,07/26/22 19:37,"748 Avenue des Arts St, Bruxelles, BRU 1000"
212642,USB-C Charging Cable,1,11.95,07/31/22 19:45,"434 Rue Haute St, Verviers, LGE 4800"
212643,AAA Batteries (4-pack),1,2.99,07/25/22 09:43,"416 Rue de Flandre St, Namur, NAM 5000"
212644,Lightning Charging Cable,2,14.95,07/14/22 00:04,"627 Rue du Luxembourg St, Verviers, LGE 4800"
212645,Lightning Charging Cable,1,14.95,07/07/22 19:13,"774 Rue Blaes St, Liège, WLG 4000"
212646,Apple Airpods Headphones,1,150.0,07/02/22 10:10,"962 Rue Antoine Dansaert St, Courtrai, WVH 8500"
