Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
195002,Apple Airpods Headphones,1,150.0,06/15/22 08:43,"257 Avenue de la Toison d'Or St, Namur, NAM 5000"
195003,iPhone,1,700.0,06/03/22 19:12,"859 Avenue Louise St, Bruxelles, BRU 1000"
195004,Lightning Charging Cable,1,14.95,06/04/22 11:55,"862 Avenue Adolphe Buyl St, Mons, HAI 7000"
195005,iPhone,1,700.0,06/03/22 09:28,"902 Rue Royale St, Liège, WLG 4000"
195006,AA Batteries (4-pack),1,3.84,06/19/22 12:31,"937 Avenue de Tervueren St, Mouscron, HAI 7700"
195007,ThinkPad Laptop,1,999.99,06/05/22 11:26,"107 Rue du Marché aux Herbes St, La Louvière, WHT 7100"
195008,Apple Airpods Headphones,1,150.0,06/14/22 19:24,"755 Chaussée de Waterloo St, Liège, WLG 4000"
195009,AA Batteries (4-pack),1,3.84,06/19/22 15:40,"293 Rue de l'Ecuyer St, Mouscron, HAI 7700"
195010,AAA Batteries (4-pack),1,2.99,06/02/22 17:08,"49 Rue du Luxembourg St, Charleroi, WHT 6000"
195010,ThinkPad Laptop,1,999.99,06/02/22 17:08,"49 Rue du Luxembourg St, Charleroi, WHT 6000"
195011,Google Phone,1,600.0,06/09/22 11:29,"887 Place Sainte-Catherine St, Verviers, LGE 4800"
195012,20in Monitor,1,109.99,06/09/22 18:26,"401 Avenue des Arts St, Liège, WLG 4000"
195013,AAA Batteries (4-pack),1,2.99,06/03/22 22:11,"901 Rue du Luxembourg St, Liège, WLG 4000"
195014,Bose SoundSport Headphones,1,99.99,06/15/22 19:12,"67 Rue Antoine Dansaert St, Mons, HAI 7000"
195015,Apple Airpods Headphones,1,150.0,06/02/22 04:18,"282 Rue du Midi St, Bruxelles, BRU 1000"
195016,ThinkPad Laptop,1,999.99,06/08/22 11:47,"185 Rue de la Loi St, Bruxelles, BRU 1000"
195017,Apple Airpods Headphones,1,150.0,06/22/22 19:49,"974 Rue Antoine Dansaert St, Liège, WLG 4000"
195018,AA Batteries (4-pack),1,3.84,06/18/22 09:52,"955 Rue de Flandre St, Liège, WLG 4000"
195019,Wired Headphones,1,11.99,06/12/22 08:48,"89 Rue de la Loi St, Bruxelles, BRU 1000"
195020,AAA Batteries (4-pack),1,2.99,06/23/22 23:29,"68 Rue Royale St, Tournai, HAI 7500"
195021,USB-C Charging Cable,2,11.95,06/13/22 01:38,"132 Rue du Midi St, Bruxelles, BRU 1000"
195022,Bose SoundSport Headphones,1,99.99,06/04/22 17:31,"469 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
195023,AA Batteries (4-pack),1,3.84,06/14/22 09:43,"933 Avenue Franklin Roosevelt St, La Louvière, WHT 7100"
195024,AA Batteries (4-pack),2,3.84,06/12/22 17:10,"740 Avenue de la Toison d'Or St, Mouscron, HAI 7700"
195025,27in 4K Gaming Monitor,1,389.99,06/28/22 19:42,"17 Rue Neuve St, Charleroi, WHT 6000"
195026,Lightning Charging Cable,1,14.95,06/22/22 12:49,"901 Rue du Midi St, La Louvière, WHT 7100"
195027,Macbook Pro Laptop,1,1700.0,06/01/22 17:35,"576 Rue Haute St, Bruxelles, BRU 1000"
195028,iPhone,1,700.0,06/29/22 10:34,"806 Chaussée de Waterloo St, Liège, WLG 4000"
195029,Apple Airpods Headphones,1,150.0,06/13/22 18:21,"679 Rue Neuve St, Mons, HAI 7000"
195030,Wired Headphones,1,11.99,06/16/22 15:05,"373 Rue Blaes St, Namur, NAM 5000"
195031,USB-C Charging Cable,1,11.95,06/07/22 20:32,"831 Rue de Flandre St, Courtrai, WVH 8500"
195032,USB-C Charging Cable,1,11.95,06/17/22 11:29,"253 Rue du Midi St, Liège, WLG 4000"
195033,Wired Headphones,1,11.99,06/03/22 18:58,"36 Rue du Luxembourg St, Liège, WLG 4000"
195034,AA Batteries (4-pack),2,3.84,06/30/22 11:04,"707 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
195035,AAA Batteries (4-pack),1,2.99,06/21/22 14:48,"467 Avenue Brugmann St, La Louvière, WHT 7100"
195036,34in Ultrawide Monitor,1,379.99,06/11/22 00:12,"635 Rue du Page St, Bruxelles, BRU 1000"
195037,Lightning Charging Cable,1,14.95,06/08/22 02:45,"398 Rue du Page St, La Louvière, WHT 7100"
195038,27in 4K Gaming Monitor,1,389.99,06/17/22 11:12,"883 Chaussée de Waterloo St, Liège, WLG 4000"
195039,Apple Airpods Headphones,1,150.0,06/30/22 13:42,"166 Rue de la Loi St, Liège, WLG 4000"
195040,27in FHD Monitor,1,149.99,06/17/22 20:53,"298 Boulevard Anspach St, Bruxelles, BRU 1000"
195041,Lightning Charging Cable,1,14.95,06/18/22 12:44,"600 Rue du Bailli St, Verviers, LGE 4800"
195042,Wired Headphones,1,11.99,06/10/22 19:57,"164 Avenue Brugmann St, Bruxelles, BRU 1000"
195043,AA Batteries (4-pack),1,3.84,06/12/22 10:13,"460 Rue du Bailli St, Bruxelles, BRU 1000"
195044,Apple Airpods Headphones,1,150.0,06/20/22 17:44,"349 Rue Royale St, Courtrai, WVH 8500"
195045,Wired Headphones,1,11.99,06/15/22 05:58,"709 Rue du Page St, Tournai, HAI 7500"
195046,Lightning Charging Cable,1,14.95,06/27/22 21:20,"960 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
195047,Lightning Charging Cable,1,14.95,06/10/22 08:58,"413 Rue de la Loi St, Liège, WLG 4000"
195048,AAA Batteries (4-pack),2,2.99,06/24/22 13:10,"380 Avenue des Arts St, Charleroi, WHT 6000"
195049,Google Phone,1,600.0,06/16/22 10:42,"773 Rue Antoine Dansaert St, Charleroi, WHT 6000"
195049,Wired Headphones,1,11.99,06/16/22 10:42,"773 Rue Antoine Dansaert St, Charleroi, WHT 6000"
195050,AAA Batteries (4-pack),1,2.99,06/29/22 16:51,"747 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
195051,Bose SoundSport Headphones,1,99.99,06/11/22 20:59,"339 Avenue Louise St, Charleroi, WHT 6000"
195052,Bose SoundSport Headphones,1,99.99,06/05/22 12:55,"914 Avenue de la Toison d'Or St, Courtrai, WVH 8500"
195053,AAA Batteries (4-pack),1,2.99,06/16/22 14:32,"103 Avenue Franklin Roosevelt St, Courtrai, WVH 8500"
195054,AA Batteries (4-pack),2,3.84,06/04/22 22:50,"791 Rue de la Loi St, Courtrai, WVH 8500"
195055,Lightning Charging Cable,1,14.95,06/14/22 18:18,"536 Rue du Page St, Bruxelles, BRU 1000"
195056,AAA Batteries (4-pack),1,2.99,06/19/22 11:49,"864 Rue Haute St, Tournai, HAI 7500"
195057,AA Batteries (4-pack),1,3.84,06/09/22 00:49,"558 Avenue Franklin Roosevelt St, Verviers, LGE 4800"
195058,USB-C Charging Cable,1,11.95,06/10/22 20:53,"503 Rue Neuve St, Liège, WLG 4000"
195059,ThinkPad Laptop,1,999.99,06/13/22 09:02,"812 Rue Blaes St, Verviers, LGE 4800"
195060,Wired Headphones,1,11.99,06/14/22 10:35,"907 Avenue de Tervueren St, Verviers, LGE 4800"
195061,USB-C Charging Cable,1,11.95,06/12/22 12:50,"841 Rue de la Loi St, Bruxelles, BRU 1000"
