Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
169690,AA Batteries (4-pack),1,3.84,03/15/22 14:41,"370 Boulevard Anspach St, Namur, NAM 5000"
169691,34in Ultrawide Monitor,1,379.99,03/19/22 11:48,"274 Rue de Flandre St, La Louvière, WHT 7100"
169692,USB-C Charging Cable,1,11.95,03/08/22 16:48,"122 Rue du Marché aux Herbes St, Mons, HAI 7000"
169693,Google Phone,1,600.0,03/30/22 10:52,"858 Rue Saint-Jacques St, Liège, WLG 4000"
169693,USB-C Charging Cable,1,11.95,03/30/22 10:52,"858 Rue Saint-Jacques St, Liège, WLG 4000"
169694,27in 4K Gaming Monitor,1,389.99,03/30/22 21:51,"43 Rue Blaes St, Verviers, LGE 4800"
169695,AAA Batteries (4-pack),1,2.99,03/17/22 17:00,"838 Rue Antoine Dansaert St, Namur, NAM 5000"
169696,USB-C Charging Cable,2,11.95,03/20/22 20:52,"242 Rue du Midi St, Liège, WLG 4000"
169697,AAA Batteries (4-pack),1,2.99,03/01/22 15:14,"227 Avenue Louise St, Bruxelles, BRU 1000"
169698,Wired Headphones,1,11.99,03/29/22 21:13,"597 Rue du Bailli St, La Louvière, WHT 7100"
169699,Wired Headphones,1,11.99,03/10/22 14:00,"609 Rue de Flandre St, Mouscron, HAI 7700"
169700,Bose SoundSport Headphones,1,99.99,03/05/22 19:28,"15 Rue du Marché aux Herbes St, Tournai, HAI 7500"
169701,Apple Airpods Headphones,1,150.0,03/21/22 16:49,"454 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
169702,ThinkPad Laptop,1,999.99,03/31/22 14:47,"102 Rue Royale St, Bruxelles, BRU 1000"
169703,Bose SoundSport Headphones,1,99.99,03/31/22 12:32,"406 Avenue Adolphe Buyl St, La Louvière, WHT 7100"
169704,USB-C Charging Cable,1,11.95,03/02/22 07:55,"910 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
169705,Wired Headphones,1,11.99,03/31/22 13:38,"53 Rue Haute St, Mouscron, HAI 7700"
169706,Bose SoundSport Headphones,1,99.99,03/16/22 17:47,"112 Avenue Franklin Roosevelt St, Charleroi, WHT 6000"
169707,Bose SoundSport Headphones,1,99.99,03/24/22 04:41,"239 Avenue Franklin Roosevelt St, Tournai, HAI 7500"
169707,Apple Airpods Headphones,1,150.0,03/24/22 04:41,"239 Avenue Franklin Roosevelt St, Tournai, HAI 7500"
169708,Apple Airpods Headphones,1,150.0,03/27/22 22:55,"295 Rue du Bailli St, Charleroi, WHT 6000"
169709,Lightning Charging Cable,1,14.95,03/09/22 10:57,"722 Avenue Franklin Roosevelt St, La Louvière, WHT 7100"
