Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
187324,Lightning Charging Cable,1,14.95,05/08/22 22:31,"220 Rue du Bailli St, Verviers, LGE 4800"
187325,Macbook Pro Laptop,1,1700.0,05/25/22 16:12,"621 Rue Royale St, Namur, NAM 5000"
187326,iPhone,1,700.0,05/27/22 16:13,"229 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
187326,Apple Airpods Headphones,1,150.0,05/27/22 16:13,"229 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
187327,AA Batteries (4-pack),1,3.84,05/27/22 22:31,"324 Rue Haute St, Tournai, HAI 7500"
187328,Bose SoundSport Headphones,1,99.99,05/25/22 16:29,"824 Rue du Marché aux Herbes St, La Louvière, WHT 7100"
187329,Bose SoundSport Headphones,1,99.99,05/14/22 12:59,"869 Rue Neuve St, Mons, HAI 7000"
187330,Google Phone,1,600.0,05/14/22 11:44,"803 Avenue Louise St, Bruxelles, BRU 1000"
187331,AAA Batteries (4-pack),1,2.99,05/15/22 21:37,"773 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
187332,Flatscreen TV,1,300.0,05/27/22 18:36,"123 Place Sainte-Catherine St, Bruxelles, BRU 1000"
187333,Lightning Charging Cable,1,14.95,05/25/22 23:26,"552 Rue de la Loi St, Bruxelles, BRU 1000"
187334,USB-C Charging Cable,1,11.95,05/09/22 15:04,"850 Rue Neuve St, Mons, HAI 7000"
187335,LG Dryer,1,600.0,05/30/22 18:24,"418 Rue Blaes St, Charleroi, WHT 6000"
187336,AAA Batteries (4-pack),1,2.99,05/10/22 09:08,"478 Avenue Louise St, Courtrai, WVH 8500"
187337,USB-C Charging Cable,1,11.95,05/26/22 10:01,"53 Rue Royale St, Bruxelles, BRU 1000"
187338,USB-C Charging Cable,1,11.95,05/19/22 17:15,"312 Avenue de Tervueren St, Verviers, LGE 4800"
187339,AAA Batteries (4-pack),2,2.99,05/03/22 13:34,"804 Rue de la Loi St, La Louvière, WHT 7100"
187340,AAA Batteries (4-pack),1,2.99,05/30/22 14:54,"203 Rue Blaes St, Charleroi, WHT 6000"
187341,AAA Batteries (4-pack),1,2.99,05/30/22 16:06,"479 Rue de Flandre St, La Louvière, WHT 7100"
187342,27in FHD Monitor,1,149.99,05/28/22 00:37,"958 Avenue Louise St, Namur, NAM 5000"
187343,Google Phone,1,600.0,05/30/22 11:15,"495 Rue Saint-Jacques St, Mouscron, HAI 7700"
187344,AAA Batteries (4-pack),1,2.99,05/21/22 10:26,"553 Avenue Louise St, Tournai, HAI 7500"
187345,Flatscreen TV,1,300.0,05/30/22 22:47,"675 Rue du Page St, Bruxelles, BRU 1000"
187346,20in Monitor,1,109.99,05/25/22 18:18,"393 Rue Blaes St, Mons, HAI 7000"
187347,ThinkPad Laptop,1,999.99,05/24/22 19:19,"852 Boulevard Anspach St, Bruxelles, BRU 1000"
187348,Apple Airpods Headphones,1,150.0,05/07/22 16:34,"917 Avenue Adolphe Buyl St, Courtrai, WVH 8500"
187349,AAA Batteries (4-pack),1,2.99,05/18/22 18:38,"58 Rue du Page St, Courtrai, WVH 8500"
187350,Google Phone,1,600.0,05/04/22 11:01,"153 Rue du Page St, Charleroi, WHT 6000"
187351,Macbook Pro Laptop,1,1700.0,05/22/22 19:59,"973 Avenue des Arts St, Tournai, HAI 7500"
187352,Flatscreen TV,1,300.0,05/14/22 12:31,"906 Rue de Flandre St, Charleroi, WHT 6000"
187353,Macbook Pro Laptop,1,1700.0,05/30/22 21:02,"24 Rue du Page St, Courtrai, WVH 8500"
187354,Apple Airpods Headphones,1,150.0,05/14/22 00:53,"808 Rue du Bailli St, Verviers, LGE 4800"
187355,27in FHD Monitor,1,149.99,05/27/22 07:39,"693 Rue du Page St, Bruxelles, BRU 1000"
187356,Bose SoundSport Headphones,1,99.99,05/02/22 22:05,"540 Avenue des Arts St, Bruxelles, BRU 1000"
187357,USB-C Charging Cable,1,11.95,05/14/22 05:33,"785 Boulevard Anspach St, Bruxelles, BRU 1000"
187358,Apple Airpods Headphones,1,150.0,05/23/22 04:20,"986 Rue Antoine Dansaert St, Namur, NAM 5000"
187359,20in Monitor,1,109.99,05/07/22 13:22,"313 Boulevard Anspach St, Bruxelles, BRU 1000"
187360,USB-C Charging Cable,1,11.95,05/26/22 17:23,"506 Rue Haute St, Bruxelles, BRU 1000"
187361,AA Batteries (4-pack),2,3.84,05/06/22 17:23,"552 Chaussée de Waterloo St, Bruxelles, BRU 1000"
187362,USB-C Charging Cable,1,11.95,05/10/22 07:59,"327 Rue du Midi St, Charleroi, WHT 6000"
187363,USB-C Charging Cable,1,11.95,05/20/22 23:49,"205 Rue du Page St, Bruxelles, BRU 1000"
187364,Google Phone,1,600.0,05/28/22 22:47,"188 Boulevard Anspach St, Mouscron, HAI 7700"
