Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
246769,Apple Airpods Headphones,1,150.0,11/04/22 07:39,"558 Rue du Marché aux Herbes St, Mouscron, HAI 7700"
246770,USB-C Charging Cable,1,11.95,11/24/22 15:40,"483 Avenue de Tervueren St, Bruxelles, BRU 1000"
246771,Lightning Charging Cable,1,14.95,11/24/22 10:14,"98 Rue de l'Ecuyer St, Courtrai, WVH 8500"
246772,Wired Headphones,1,11.99,11/02/22 14:16,"84 Rue de l'Ecuyer St, Mons, HAI 7000"
246773,Bose SoundSport Headphones,1,99.99,11/13/22 10:07,"403 Rue du Luxembourg St, Bruxelles, BRU 1000"
246774,Bose SoundSport Headphones,1,99.99,11/29/22 17:55,"875 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
246775,USB-C Charging Cable,1,11.95,11/14/22 18:07,"600 Rue Haute St, Courtrai, WVH 8500"
246776,34in Ultrawide Monitor,1,379.99,11/08/22 18:24,"431 Rue Saint-Jacques St, Tournai, HAI 7500"
246777,AAA Batteries (4-pack),1,2.99,11/26/22 21:59,"56 Avenue Franklin Roosevelt St, Bruxelles, BRU 1000"
246778,AAA Batteries (4-pack),2,2.99,11/12/22 21:26,"299 Place Sainte-Catherine St, Bruxelles, BRU 1000"
246779,AAA Batteries (4-pack),1,2.99,11/27/22 07:32,"941 Rue de la Loi St, Bruxelles, BRU 1000"
246780,AA Batteries (4-pack),1,3.84,11/27/22 06:59,"209 Rue de la Loi St, La Louvière, WHT 7100"
246781,Apple Airpods Headphones,1,150.0,11/22/22 13:27,"2 Rue du Midi St, Bruxelles, BRU 1000"
246782,27in 4K Gaming Monitor,1,389.99,11/28/22 20:25,"221 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
246783,Lightning Charging Cable,1,14.95,11/12/22 14:57,"476 Rue Neuve St, Mouscron, HAI 7700"
246784,Wired Headphones,1,11.99,11/19/22 13:51,"377 Avenue de Tervueren St, Bruxelles, BRU 1000"
246785,USB-C Charging Cable,1,11.95,11/05/22 10:32,"735 Boulevard Anspach St, Verviers, LGE 4800"
246786,Lightning Charging Cable,1,14.95,11/11/22 18:31,"946 Rue de la Loi St, Bruxelles, BRU 1000"
246787,AAA Batteries (4-pack),1,2.99,11/13/22 01:50,"188 Avenue de la Toison d'Or St, Namur, NAM 5000"
246788,20in Monitor,1,109.99,11/28/22 04:45,"399 Avenue Franklin Roosevelt St, Namur, NAM 5000"
246789,AA Batteries (4-pack),1,3.84,11/03/22 15:03,"572 Avenue Brugmann St, Liège, WLG 4000"
