Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
238900,34in Ultrawide Monitor,1,379.99,10/18/22 11:00,"673 Rue Royale St, Courtrai, WVH 8500"
238901,USB-C Charging Cable,1,11.95,10/10/22 10:56,"698 Rue de l'Ecuyer St, Charleroi, WHT 6000"
238902,LG Dryer,1,600.0,10/20/22 10:43,"619 Avenue de Tervueren St, Mons, HAI 7000"
238903,34in Ultrawide Monitor,2,379.99,10/02/22 13:08,"816 Rue de la Loi St, Courtrai, WVH 8500"
238904,AA Batteries (4-pack),1,3.84,10/24/22 17:51,"895 Avenue des Arts St, Courtrai, WVH 8500"
238905,iPhone,1,700.0,10/17/22 17:55,"716 Avenue de la Toison d'Or St, Mouscron, HAI 7700"
238906,Apple Airpods Headphones,1,150.0,10/04/22 17:50,"875 Rue Haute St, Charleroi, WHT 6000"
238907,34in Ultrawide Monitor,1,379.99,10/25/22 15:05,"552 Chaussée de Waterloo St, Verviers, LGE 4800"
238908,AA Batteries (4-pack),1,3.84,10/24/22 23:14,"350 Rue Royale St, Bruxelles, BRU 1000"
238909,27in 4K Gaming Monitor,1,389.99,10/13/22 09:42,"359 Place Sainte-Catherine St, Liège, WLG 4000"
238910,Lightning Charging Cable,1,14.95,10/18/22 10:06,"109 Avenue Adolphe Buyl St, Courtrai, WVH 8500"
238911,Google Phone,1,600.0,10/08/22 12:58,"69 Rue du Bailli St, Bruxelles, BRU 1000"
238912,Lightning Charging Cable,1,14.95,10/09/22 17:50,"361 Avenue de Tervueren St, Courtrai, WVH 8500"
238913,Wired Headphones,1,11.99,10/10/22 07:51,"602 Rue de Flandre St, Bruxelles, BRU 1000"
238914,USB-C Charging Cable,1,11.95,10/26/22 15:56,"743 Avenue de Tervueren St, Mouscron, HAI 7700"
238915,Bose SoundSport Headphones,1,99.99,10/28/22 11:31,"765 Rue du Page St, Tournai, HAI 7500"
238916,AAA Batteries (4-pack),2,2.99,10/12/22 15:39,"772 Rue Saint-Jacques St, Bruxelles, BRU 1000"
238917,Wired Headphones,1,11.99,10/18/22 20:42,"895 Avenue des Arts St, Namur, NAM 5000"
238918,LG Dryer,1,600.0,10/02/22 13:01,"693 Rue de la Loi St, Charleroi, WHT 6000"
238919,34in Ultrawide Monitor,1,379.99,10/26/22 13:14,"56 Rue Saint-Jacques St, Bruxelles, BRU 1000"
238920,27in FHD Monitor,1,149.99,10/05/22 18:14,"214 Rue Neuve St, La Louvière, WHT 7100"
238921,AAA Batteries (4-pack),2,2.99,10/29/22 19:12,"388 Avenue de la Toison d'Or St, Mouscron, HAI 7700"
238922,Bose SoundSport Headphones,1,99.99,10/16/22 14:48,"206 Avenue Adolphe Buyl St, Mons, HAI 7000"
238923,Wired Headphones,1,11.99,10/16/22 18:50,"333 Avenue Franklin Roosevelt St, Bruxelles, BRU 1000"
238924,Macbook Pro Laptop,1,1700.0,10/20/22 14:38,"437 Rue Neuve St, Bruxelles, BRU 1000"
238925,27in FHD Monitor,1,149.99,10/15/22 09:04,"432 Avenue Adolphe Buyl St, Bruxelles, BRU 1000"
238926,USB-C Charging Cable,1,11.95,10/31/22 17:25,"312 Place Sainte-Catherine St, Bruxelles, BRU 1000"
238927,Lightning Charging Cable,1,14.95,10/06/22 12:48,"588 Rue Blaes St, Bruxelles, BRU 1000"
238928,Flatscreen TV,1,300.0,10/14/22 22:13,"344 Rue de la Loi St, Bruxelles, BRU 1000"
238929,USB-C Charging Cable,1,11.95,10/04/22 06:55,"668 Avenue Brugmann St, Mons, HAI 7000"
238930,Lightning Charging Cable,1,14.95,10/03/22 10:51,"883 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
238931,Lightning Charging Cable,1,14.95,10/12/22 18:51,"403 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
238932,Lightning Charging Cable,1,14.95,10/27/22 16:37,"838 Rue du Bailli St, Bruxelles, BRU 1000"
238933,USB-C Charging Cable,1,11.95,10/05/22 12:59,"503 Rue Neuve St, Liège, WLG 4000"
