Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
228085,AAA Batteries (4-pack),1,2.99,09/28/22 22:46,"926 Rue du Midi St, Mouscron, HAI 7700"
228086,27in 4K Gaming Monitor,1,389.99,09/23/22 23:27,"711 Rue de Flandre St, Bruxelles, BRU 1000"
228087,USB-C Charging Cable,2,11.95,09/30/22 13:38,"50 Rue Neuve St, Bruxelles, BRU 1000"
228088,Bose SoundSport Headphones,1,99.99,09/22/22 16:41,"23 Rue de l'Ecuyer St, Bruxelles, BRU 1000"
228089,Flatscreen TV,1,300.0,09/09/22 00:07,"685 Avenue de la Toison d'Or St, Bruxelles, BRU 1000"
228090,USB-C Charging Cable,1,11.95,09/26/22 10:00,"203 Rue Blaes St, Bruxelles, BRU 1000"
228091,AAA Batteries (4-pack),1,2.99,09/13/22 16:18,"619 Avenue Louise St, Bruxelles, BRU 1000"
228092,USB-C Charging Cable,1,11.95,09/23/22 11:58,"702 Rue Haute St, Bruxelles, BRU 1000"
228093,Flatscreen TV,1,300.0,09/04/22 13:25,"62 Rue Antoine Dansaert St, Liège, WLG 4000"
228094,34in Ultrawide Monitor,1,379.99,09/29/22 19:37,"891 Avenue de Tervueren St, Verviers, LGE 4800"
228095,AA Batteries (4-pack),1,3.84,09/11/22 14:14,"693 Avenue Franklin Roosevelt St, Charleroi, WHT 6000"
228096,AA Batteries (4-pack),1,3.84,09/11/22 08:02,"424 Rue du Marché aux Herbes St, Bruxelles, BRU 1000"
228097,iPhone,1,700.0,09/19/22 16:17,"25 Avenue de Tervueren St, Charleroi, WHT 6000"
228098,Bose SoundSport Headphones,1,99.99,09/10/22 13:02,"55 Rue Royale St, La Louvière, WHT 7100"
228099,AA Batteries (4-pack),1,3.84,09/29/22 21:04,"430 Rue Blaes St, Namur, NAM 5000"
228100,Lightning Charging Cable,1,14.95,09/11/22 16:55,"290 Rue de l'Ecuyer St, Tournai, HAI 7500"
228101,AA Batteries (4-pack),1,3.84,09/26/22 17:46,"823 Rue Royale St, Bruxelles, BRU 1000"
228102,Apple Airpods Headphones,1,150.0,09/17/22 09:28,"593 Rue du Luxembourg St, Liège, WLG 4000"
228103,USB-C Charging Cable,1,11.95,09/13/22 16:26,"527 Avenue Franklin Roosevelt St, Liège, WLG 4000"
228104,iPhone,1,700.0,09/10/22 18:43,"552 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
228105,AA Batteries (4-pack),1,3.84,09/04/22 13:31,"300 Rue Antoine Dansaert St, Bruxelles, BRU 1000"
228106,Vareebadd Phone,1,400.0,09/26/22 21:24,"975 Rue Blaes St, Liège, WLG 4000"
228106,USB-C Charging Cable,1,11.95,09/26/22 21:24,"975 Rue Blaes St, Liège, WLG 4000"
228106,Bose SoundSport Headphones,1,99.99,09/26/22 21:24,"975 Rue Blaes St, Liège, WLG 4000"
228107,iPhone,1,700.0,09/07/22 21:25,"603 Rue de la Loi St, Tournai, HAI 7500"
228107,Wired Headphones,2,11.99,09/07/22 21:25,"603 Rue de la Loi St, Tournai, HAI 7500"
228108,Lightning Charging Cable,2,14.95,09/26/22 15:13,"830 Rue Blaes St, Bruxelles, BRU 1000"
228109,Apple Airpods Headphones,1,150.0,09/29/22 23:01,"529 Rue Saint-Jacques St, Verviers, LGE 4800"
